j,m1,xi1,m2,xi2,index1,index2,energy_diff,coupling
0,0.5,True,-0.5,False,1,0,12.773243555560699,-0.0
1,-0.5,False,-1.5,False,3,2,-9.929184844236255,0.1840801150254792
1,0.5,False,-0.5,False,4,3,-6.4751885195929315,0.15661157347940582
1,0.5,False,-0.5,True,4,5,-23.21678372614913,-0.1243897706899756
1,-0.5,True,-1.5,False,5,2,6.812410362319943,-0.07819534034842615
1,0.5,True,-0.5,True,6,5,0.2551524446389113,-0.15661157347940538
1,0.5,True,-0.5,False,6,3,16.996747651195108,-0.1243897706899755
1,1.5,True,0.5,True,7,6,-0.5143553263521774,0.19277888457687853
1,1.5,True,0.5,False,7,4,22.957580844435864,0.05325694002939516
2,-1.5,False,-2.5,False,9,8,-14.478523390506023,0.15512794788695664
2,-0.5,False,-1.5,False,10,9,-6.393945372147837,-0.12017732940935956
2,-0.5,False,-1.5,True,10,13,-23.714217671243567,-0.03304424550383916
2,0.5,False,-0.5,False,11,10,-5.668483536211154,0.04911843214984623
2,0.5,False,-0.5,True,11,14,-29.55661050464854,-0.06625783509575565
2,1.5,False,0.5,False,12,11,-5.2804024558385265,0.18785476742646853
2,1.5,False,0.5,True,12,15,-34.2854604217442,-0.056024495523991434
2,-1.5,True,-2.5,False,13,8,2.841748908589709,-0.12942815116887757
2,-0.5,True,-1.5,True,14,13,0.17390929719381454,-0.1605138595486362
2,-0.5,True,-1.5,False,14,9,17.494181596289547,-0.07949739522125554
2,0.5,True,-0.5,True,15,14,-0.5515525387428681,-0.049118432149845945
2,0.5,True,-0.5,False,15,10,23.336574429694515,-0.06625783509575563
2,1.5,True,0.5,True,16,15,-0.9396336191154955,0.0941275499419886
2,1.5,True,0.5,False,16,11,28.065424346790174,-0.01819049799746674
2,2.5,True,1.5,True,17,16,-1.1913006422725072,0.1948089422643681
2,2.5,True,1.5,False,17,12,32.15452616035619,0.053533191054245886
3,-2.5,False,-3.5,False,19,18,-20.858965321115317,0.1177547110202333
3,-1.5,False,-2.5,False,20,19,-5.88980713998514,-0.16937757013130897
3,-1.5,False,-2.5,True,20,25,-27.450963300299463,0.00965834045206574
3,-0.5,False,-1.5,False,21,20,-5.409860579624514,-0.08941638477967022
3,-0.5,False,-1.5,True,21,26,-32.53059494495509,-0.03269148569773026
3,0.5,False,-0.5,False,22,21,-5.116227844886868,0.025474592613995872
3,0.5,False,-0.5,True,22,27,-36.83664729451245,-0.048104138014456815
3,1.5,False,0.5,False,23,22,-4.91265138758013,0.13190949808904975
3,1.5,False,0.5,True,23,28,-40.64549045202543,-0.04699996364452385
3,2.5,False,1.5,False,24,23,-4.7607760284697065,0.18698944838106235
3,2.5,False,1.5,True,24,29,-44.098881793121244,-0.033527565532019285
3,-2.5,True,-3.5,False,25,18,0.702190839199007,-0.15221979197718802
3,-1.5,True,-2.5,True,26,25,-0.3302289349688863,-0.16635927226613395
3,-1.5,True,-2.5,False,26,19,21.230927225345436,-0.052932097884621075
3,-0.5,True,-1.5,True,27,26,-0.8101754953295046,-0.11236422753238423
3,-0.5,True,-1.5,False,27,20,26.310558870001074,-0.05912226697315392
3,0.5,True,-0.5,True,28,27,-1.1038082300671537,-0.025474592613996025
3,0.5,True,-0.5,False,28,21,30.616611219558433,-0.04810413801445682
3,1.5,True,0.5,True,29,28,-1.3073846873738937,0.07039315213417277
3,1.5,True,0.5,False,29,22,34.425454377071404,-0.024917404541982286
3,2.5,True,1.5,True,30,29,-1.4592600464843173,0.15201384526205933
3,2.5,True,1.5,False,30,23,37.87884571816722,0.007867569608470145
3,3.5,True,2.5,True,31,30,-1.5781981142766188,0.1861916300088138
3,3.5,True,2.5,False,31,24,41.06142363236031,0.04867970780210238
4,-3.5,False,-4.5,False,33,32,-28.257401909964884,0.09085119305532724
4,-2.5,False,-3.5,False,34,33,-5.358924191580629,-0.17571600886039015
4,-2.5,False,-3.5,True,34,41,-33.19695352959408,0.02659776108904557
4,-1.5,False,-2.5,False,35,34,-5.082228364077402,-0.1443152413360564
4,-1.5,False,-2.5,True,35,42,-37.41807001029809,-0.009157389460240903
4,-0.5,False,-1.5,False,36,35,-4.887895134452144,-0.07134779421296036
4,-0.5,False,-1.5,True,36,43,-41.16815743387361,-0.028924241304066435
4,0.5,False,-0.5,False,37,36,-4.741713893200227,0.015659269665689996
4,0.5,False,-0.5,True,37,44,-44.577730386571965,-0.03796593653244501
4,1.5,False,0.5,False,38,37,-4.626575905481072,0.09936382790516998
4,1.5,False,0.5,True,38,45,-47.72598411029924,-0.03900211821105857
4,2.5,False,1.5,False,39,38,-4.5328380358528975,0.16272185914404008
4,2.5,False,1.5,True,39,46,-50.665361976679186,-0.03359352511625006
4,3.5,False,2.5,False,40,39,-4.4545929925617,0.1798489518739313
4,3.5,False,2.5,True,40,47,-53.43275693013976,-0.022533997259915336
4,-3.5,True,-4.5,False,41,32,-0.4193725719514312,-0.15749257747618814
4,-2.5,True,-3.5,True,42,41,-0.8611118833733933,-0.17231612910286506
4,-2.5,True,-3.5,False,42,33,26.97691745464006,-0.036019228652863805
4,-1.5,True,-2.5,True,43,42,-1.137807710876622,-0.14204586782384515
4,-1.5,True,-2.5,False,43,34,31.198033935344064,-0.04571461899349186
4,-0.5,True,-1.5,True,44,43,-1.3321409405018727,-0.08573027226849785
4,-0.5,True,-1.5,False,44,35,34.94812135891959,-0.045513613548687507
4,0.5,True,-0.5,True,45,44,-1.4783221817537964,-0.01565926966569026
4,0.5,True,-0.5,False,45,36,38.35769431161794,-0.03796593653244497
4,1.5,True,0.5,True,46,45,-1.5934601694729515,0.05791897087575194
4,1.5,True,0.5,False,46,37,41.50594803534521,-0.024481531147723546
4,2.5,True,1.5,True,47,46,-1.6871980391011228,0.12463928732315008
4,2.5,True,1.5,False,47,38,44.44532590172517,-0.0059767300180194475
4,3.5,True,2.5,True,48,47,-1.7654430823923164,0.1715652604230258
4,3.5,True,2.5,False,48,39,47.21272085518575,0.01690339432879795
4,4.5,True,3.5,True,49,48,-1.8320441648318848,0.1764933064290615
4,4.5,True,3.5,False,49,40,49.835269682915566,0.04368024754287459
