j,m1,xi1,m2,xi2,index1,index2,energy_diff,coupling
0,0.5,True,-0.5,False,1,0,42.57747851853566,-0.0
1,-0.5,False,-1.5,False,3,2,-1.045759539241974,0.19993749867132066
1,0.5,False,-0.5,False,4,3,-1.0185139978190314,0.19975848880573038
1,0.5,False,-0.5,True,4,5,-43.178098238590664,-0.009825790047164112
1,-0.5,True,-1.5,False,5,2,41.113824701529666,-0.004999662494153487
1,0.5,True,-0.5,True,6,5,0.46968728532308646,-0.1997584888057298
1,0.5,True,-0.5,False,6,3,42.629271526094726,-0.009825790047164112
1,1.5,True,0.5,True,7,6,0.44513981918697,0.19994169112077545
1,1.5,True,0.5,False,7,4,44.092925343100724,0.004829094300643837
2,-1.5,False,-2.5,False,9,8,-1.0739995209760664,0.20189507023457856
2,-0.5,False,-1.5,False,10,9,-1.0437672017365323,-0.0826659631325105
2,-0.5,False,-1.5,True,10,13,-41.76983140597636,-0.005708636027843275
2,0.5,False,-0.5,False,11,10,-1.0167250130726586,0.08218089578446289
2,0.5,False,-0.5,True,11,14,-43.281496908289604,-0.007001532439308025
2,1.5,False,0.5,False,12,11,-0.9923485052614005,0.2018580828170825
2,1.5,False,0.5,True,12,15,-44.74174371412772,-0.005710965265533525
2,-1.5,True,-2.5,False,13,8,39.65206468326376,-0.007396427893701646
2,-0.5,True,-1.5,True,14,13,0.4949404892405873,-0.20183693595901817
2,-0.5,True,-1.5,False,14,9,41.22100469348041,-0.0038273902072718216
2,0.5,True,-0.5,True,15,14,0.46789830057671367,-0.0821808957844624
2,0.5,True,-0.5,False,15,10,42.73267019579366,-0.0070015324393080235
2,1.5,True,0.5,True,16,15,0.44352179276546266,0.08264011698281891
2,1.5,True,0.5,False,16,11,44.192917001631784,-0.003218378669682878
2,2.5,True,1.5,True,17,16,0.4213998276972504,0.20192051793044785
2,2.5,True,1.5,False,17,12,45.60666533459043,0.006665655955120489
3,-2.5,False,-3.5,False,19,18,-1.1043405562243578,0.19224201795470622
3,-1.5,False,-2.5,False,20,19,-1.0706783030319613,-0.1491781671137477
3,-1.5,False,-2.5,True,20,25,-40.36742457776836,-0.0041762653350109645
3,-0.5,False,-1.5,False,21,20,-1.0408074449694062,-0.054765709255691665
3,-0.5,False,-1.5,True,21,26,-41.930083613273794,-0.005934886173613263
3,0.5,False,-0.5,False,22,21,-1.0140655755611583,0.05404225689857549
3,0.5,False,-0.5,True,22,27,-43.43612992130841,-0.00651133106755678
3,1.5,False,0.5,False,23,22,-0.9899418090008147,0.14877767449025558
3,1.5,False,0.5,True,23,28,-44.89131059337444,-0.005938760432606986
3,2.5,False,1.5,False,24,23,-0.9680349323572237,0.1923456762684123
3,2.5,False,1.5,True,24,29,-46.30046062223654,-0.004188144906737267
3,-2.5,True,-3.5,False,25,18,38.19240571851204,-0.008946707200948147
3,-1.5,True,-2.5,True,26,25,0.5218515905360235,-0.19232154953876812
3,-1.5,True,-2.5,False,26,19,39.81859786527242,-0.00033779683369987684
3,-0.5,True,-1.5,True,27,26,0.4919807324734613,-0.14873752546342217
3,-0.5,True,-1.5,False,27,20,41.38125690077784,-0.005275217533940458
3,0.5,True,-0.5,True,28,27,0.46523886306521334,-0.054042256898575634
3,0.5,True,-0.5,False,28,21,42.88730320881247,-0.0065113310675567835
3,1.5,True,0.5,True,29,28,0.4411150965048769,0.05472184350936386
3,1.5,True,0.5,False,29,22,44.342483880878504,-0.004543096512014644
3,2.5,True,1.5,True,30,29,0.41920821986127876,0.1491469153960899
3,2.5,True,1.5,False,30,23,45.75163390974059,0.00023906103443387504
3,3.5,True,2.5,True,31,30,0.39919816009493303,0.1923029999420865
3,3.5,True,2.5,False,31,24,47.11886700219275,0.007522848550313375
4,-3.5,False,-4.5,False,33,32,-1.1370205318609514,0.18153565529057863
4,-2.5,False,-3.5,False,34,33,-1.0994018895039446,-0.17182214043076383
4,-2.5,False,-3.5,True,34,41,-38.97150811551353,-0.0032861694614249137
4,-1.5,False,-2.5,False,35,34,-1.066313747368767,-0.11718018348817258
4,-1.5,False,-2.5,True,35,42,-40.588397039890296,-0.004976764624875241
4,-0.5,False,-1.5,False,36,35,-1.0369137453955872,-0.04152688403558438
4,-0.5,False,-1.5,True,36,43,-42.14279782015871,-0.0059781198522632474
4,0.5,False,-0.5,False,37,36,-1.0105637358041122,0.04058055931667225
4,0.5,False,-0.5,True,37,44,-43.64144858886247,-0.006312152469203765
4,1.5,False,0.5,False,38,37,-0.986770223541118,0.1164811455006808
4,1.5,False,0.5,True,38,45,-45.08995583571175,-0.005983933375239036
4,2.5,False,1.5,False,39,38,-0.9651447546475111,0.17156577441071177
4,2.5,False,1.5,True,39,46,-46.49304410140444,-0.0049940004755842
4,3.5,False,2.5,False,40,39,-0.9453768069596258,0.18176931451874415
4,3.5,False,2.5,True,40,47,-47.85473895051564,-0.003316572143376419
4,-3.5,True,-4.5,False,41,32,36.73508569414864,-0.010131983906899561
4,-2.5,True,-3.5,True,42,41,0.5505751770079996,-0.18175822775095055
4,-2.5,True,-3.5,False,42,33,38.422681403017585,0.002022285690132571
4,-1.5,True,-2.5,True,43,42,0.5174870348728291,-0.17149899399906657
4,-1.5,True,-2.5,False,43,34,40.03957032739436,-0.0031197897389288283
4,-0.5,True,-1.5,True,44,43,0.4880870328996423,-0.11642464543398677
4,-0.5,True,-1.5,False,44,35,41.59397110766277,-0.005776676939074929
4,0.5,True,-0.5,True,45,44,0.46173702330816724,-0.040580559316672586
4,0.5,True,-0.5,False,45,36,43.09262187636652,-0.00631215246920377
4,1.5,True,0.5,True,46,45,0.43794351104518014,0.04146749150444863
4,1.5,True,0.5,False,46,37,44.54112912321581,-0.005007045845525852
4,2.5,True,1.5,True,47,46,0.4163180421515662,0.11710469439201858
4,2.5,True,1.5,False,47,38,45.9442173889085,-0.0020825898814957767
4,3.5,True,2.5,True,48,47,0.39655009446368084,0.17180654997750028
4,3.5,True,2.5,False,48,39,47.30591223801969,0.0022838301051856845
4,4.5,True,3.5,True,49,48,0.3783880586541848,0.18164438962559346
4,4.5,True,3.5,False,49,40,48.6296771036335,0.00794776429035182
5,-4.5,False,-5.5,False,51,50,-1.1723136805682053,0.17164411316661568
5,-3.5,False,-4.5,False,52,51,-1.130109896566804,-0.17941654605555715
5,-3.5,False,-4.5,True,52,61,-37.5828024199909,-0.002680747420459754
5,-2.5,False,-3.5,False,53,52,-1.0933508553292057,-0.14827320070834635
5,-2.5,False,-3.5,True,53,62,-39.257436459390966,-0.004220673161251392
5,-1.5,False,-2.5,False,54,53,-1.060957711120345,-0.09639852328133805
5,-1.5,False,-2.5,True,54,63,-40.86291831334457,-0.0053153743578749175
5,-0.5,False,-1.5,False,55,54,-1.0321291008437505,-0.03367728276689787
5,-0.5,False,-1.5,True,55,64,-42.407178412812726,-0.005973443295122065
5,0.5,False,-0.5,False,56,55,-1.0062556151473707,0.032517620657095715
5,0.5,False,-0.5,True,56,65,-43.8967364163079,-0.006194729480839352
5,1.5,False,0.5,False,57,56,-0.9828644404262725,0.09543630318927047
5,1.5,False,0.5,True,57,66,-45.3370297593856,-0.00598157690967761
5,2.5,False,1.5,False,58,57,-0.9615823464476847,0.14768302441325834
5,2.5,False,1.5,True,58,67,-46.732649833763624,-0.005337787564167147
5,3.5,False,2.5,False,59,58,-0.9421102400850287,0.17931395603989977
5,3.5,False,2.5,True,59,68,-48.08751570780039,-0.004264193475740601
5,4.5,False,3.5,False,60,59,-0.9242052418793776,0.17200056998702062
5,4.5,False,3.5,True,60,69,-49.405004477268854,-0.0027397352605788125
5,-4.5,True,-5.5,False,61,50,35.280378842855896,-0.01113989370748529
5,-3.5,True,-4.5,True,62,61,0.581283184070859,-0.17201640408660412
5,-3.5,True,-4.5,False,62,51,37.03397570749496,0.0037841427968565745
5,-2.5,True,-3.5,True,63,62,0.5445241428332608,-0.17923919889674883
5,-2.5,True,-3.5,False,63,52,38.70860974689502,-0.0012679036533798486
5,-1.5,True,-2.5,True,64,63,0.5121309986244071,-0.14757831888022385
5,-1.5,True,-2.5,False,64,53,40.314091600848634,-0.004425898193972369
5,-0.5,True,-1.5,True,65,64,0.4833023883478056,-0.09536507066864305
5,-0.5,True,-1.5,False,65,54,41.85835170031679,-0.005991908416768705
5,0.5,True,-0.5,True,66,65,0.4574289026514258,-0.03251762065709568
5,0.5,True,-0.5,False,66,55,43.347909703811965,-0.006194729480839352
5,1.5,True,0.5,True,67,66,0.4340377279303347,0.03360375479477523
5,1.5,True,0.5,False,67,56,44.78820304688966,-0.0052116700206074505
5,2.5,True,1.5,True,68,67,0.41275563395173975,0.0962859224920652
5,2.5,True,1.5,False,68,57,46.18382312126768,-0.00318288040117451
5,3.5,True,2.5,True,69,68,0.3932835275890838,0.1481867979424068
5,3.5,True,2.5,False,69,58,47.53868899530445,-0.0002210654942551843
5,4.5,True,3.5,True,70,69,0.37537852938343264,0.17943498882647127
5,4.5,True,3.5,False,70,59,48.85617776477291,0.0035817560661015866
5,5.5,True,4.5,True,71,70,0.35884107781770425,0.17181206438993257
5,5.5,True,4.5,False,71,60,50.13922408446999,0.00814943842468091
6,-5.5,False,-6.5,False,73,72,-1.210537579254236,0.16285334160990236
6,-4.5,False,-5.5,False,74,73,-1.1629935117242347,-0.18074073154289075
6,-4.5,False,-5.5,True,74,85,-36.2021338325204,-0.0022276674989140954
6,-3.5,False,-4.5,False,75,74,-1.1220325004221792,-0.16446659361506458
6,-3.5,False,-4.5,True,75,86,-37.93833313217087,-0.003612886096715079
6,-2.5,False,-3.5,False,76,75,-1.0862625128976262,-0.12898979299208102
6,-2.5,False,-3.5,True,76,87,-39.59780143299473,-0.004696844098616263
6,-1.5,False,-2.5,False,77,76,-1.0546717631693667,-0.08191384348959241
6,-1.5,False,-2.5,True,77,88,-41.18990899656578,-0.00547690047544473
6,-0.5,False,-1.5,False,78,77,-1.0265047547969566,-0.028458099082378265
6,-0.5,False,-1.5,True,78,89,-42.722258802036166,-0.005947360616198336
6,0.5,False,-0.5,False,79,78,-1.0011844023804777,0.027093432349816135
6,0.5,False,-0.5,True,79,90,-44.20112124671765,-0.006107027571976737
6,1.5,False,0.5,False,80,79,-0.9782612606585772,0.08071124295445675
6,1.5,False,0.5,True,80,91,-45.63174019726076,-0.005958148559460405
6,2.5,False,1.5,False,81,80,-0.9573793692864037,0.12810046762650693
6,2.5,False,1.5,True,81,92,-47.0185541147098,-0.00550479180870728
6,3.5,False,2.5,False,82,81,-0.9382526453828071,0.16401470214596992
6,3.5,False,2.5,True,82,93,-48.36535941688307,-0.004751061779963327
6,4.5,False,3.5,False,83,82,-0.9206481776363837,0.1807913955579961
6,4.5,False,3.5,True,83,94,-49.67543352740631,-0.0036976489851754464
6,5.5,False,4.5,False,84,83,-0.9043741571107802,0.1633298114080151
6,5.5,False,4.5,True,84,95,-50.951629149657535,-0.0023264352383037725
6,-5.5,True,-6.5,False,85,72,33.82860274154193,-0.01206050550993142
6,-4.5,True,-5.5,True,86,85,0.6141667992282898,-0.16338531849278537
6,-4.5,True,-5.5,False,86,73,35.65330712002445,0.005196398156942479
6,-3.5,True,-4.5,True,87,86,0.5732057879262342,-0.18072666364099182
