j,m1,xi1,m2,xi2,index1,index2,energy_diff,coupling
0,0.5,True,-0.5,False,1,0,15.540779659265514,-0.0
1,-0.5,False,-1.5,False,3,2,-1.636796046669735,0.1887291585545198
1,0.5,False,-0.5,False,4,3,-7.380724941037101,0.16800385671416765
1,0.5,False,-0.5,True,4,5,-26.671241414711723,-0.10851130876164695
1,-0.5,True,-1.5,False,5,2,17.653720427004885,-0.06619142475655576
1,0.5,True,-0.5,True,6,5,-0.18698561682362147,-0.16800385671416707
1,0.5,True,-0.5,False,6,3,19.103530856851002,-0.10851130876164687
1,1.5,True,0.5,True,7,6,-0.9736657087764762,0.19444872320355489
1,1.5,True,0.5,False,7,4,25.510590089111624,0.046794166778641774
2,-1.5,False,-2.5,False,9,8,3.1416631007516402,0.16650914320605575
2,-0.5,False,-1.5,False,10,9,-7.526454250623503,-0.1126212234918824
2,-0.5,False,-1.5,True,10,13,-25.78005242945537,-0.034235782624697605
2,0.5,False,-0.5,False,11,10,-6.660706018471949,0.05535901875663825
2,0.5,False,-0.5,True,11,14,-32.399502140690096,-0.06114000434034643
2,1.5,False,0.5,False,12,11,-6.21086419748643,0.1903873679752918
2,1.5,False,0.5,True,12,15,-37.70336179878775,-0.05083472696304075
2,-1.5,True,-2.5,False,13,8,21.395261279583508,-0.11441604677403165
2,-0.5,True,-1.5,True,14,13,-0.041256307237222956,-0.16951414273108734
2,-0.5,True,-1.5,False,14,9,18.212341871594646,-0.0709110304568902
2,0.5,True,-0.5,True,15,14,-0.907004539388776,-0.05535901875663797
2,0.5,True,-0.5,False,15,10,24.83179158282937,-0.06114000434034639
2,1.5,True,0.5,True,16,15,-1.3568463603742948,0.09213583400196262
2,1.5,True,0.5,False,16,11,30.135651240927025,-0.017277626047707734
2,2.5,True,1.5,True,17,16,-1.644795529039154,0.19604733590089107
2,2.5,True,1.5,False,17,12,34.701719909374305,0.04880336685901378
3,-2.5,False,-3.5,False,19,18,6.046996797301506,0.12951252333492255
3,-1.5,False,-2.5,False,20,19,-7.1654365071560475,-0.16684442847523662
3,-1.5,False,-2.5,True,20,25,-28.12836729288819,0.0066390524939012405
3,-0.5,False,-1.5,False,21,20,-6.4890616271555,-0.08460548736508068
3,-0.5,False,-1.5,True,21,26,-34.21515486933901,-0.032506122363755614
3,0.5,False,-0.5,False,22,21,-6.1055454353084855,0.02951437511345645
3,0.5,False,-0.5,True,22,27,-39.24205137394227,-0.04573690659221659
3,1.5,False,0.5,False,23,22,-5.849887342395764,0.13430742581196448
3,1.5,False,0.5,True,23,28,-43.62977359378579,-0.04393657769150164
3,2.5,False,1.5,False,24,23,-5.663725617479695,0.18776043540885268
3,2.5,False,1.5,True,24,29,-47.57567599580052,-0.031056129850592206
3,-2.5,True,-3.5,False,25,18,27.009927583033647,-0.1423500731874002
3,-1.5,True,-2.5,True,26,25,-0.4022740507046798,-0.16996335688740977
3,-1.5,True,-2.5,False,26,19,20.56065673502746,-0.04990567346081173
