j,m1,xi1,m2,xi2,index1,index2,energy_diff,coupling
0,0.5,True,-0.5,False,1,0,0.0012773243555560697,-0.0
1,-0.5,False,-1.5,False,3,2,-0.744151358915464,0.11551433646941595
1,0.5,False,-0.5,False,4,3,-0.00043675125642450574,0.0001084594541020885
1,0.5,False,-0.5,True,4,5,-2.2350085610422212,-0.1999999705913649
1,-0.5,True,-1.5,False,5,2,1.4904204508703325,-0.16326799462855657
1,0.5,True,-0.5,True,6,5,0.00042028645504965656,-0.00010845945410143424
1,0.5,True,-0.5,False,6,3,2.2349920962408465,-0.19999997059136457
1,1.5,True,0.5,True,7,6,0.000420122228798947,0.16333061373048474
1,1.5,True,0.5,False,7,4,2.23584896972607,0.11542577969597302
2,-1.5,False,-2.5,False,9,8,-0.7439798579969674,0.09037573979101991
2,-0.5,False,-1.5,False,10,9,-0.00026537923786928985,-0.16328160103606687
2,-0.5,False,-1.5,True,10,13,-3.7244941871866724,-0.023331694929969015
2,0.5,False,-0.5,False,11,10,-0.00026534373723663407,2.7889575526236965e-05
2,0.5,False,-0.5,True,11,14,-3.7250084453604035,-0.08247860516889806
2,1.5,False,0.5,False,12,11,-0.0002653082513042193,0.16331702555566588
2,1.5,False,0.5,True,12,15,-3.7255226325475697,-0.08570244922337157
2,-1.5,True,-2.5,False,13,8,2.980248949951836,-0.18068910367766516
2,-0.5,True,-1.5,True,14,13,0.00024891443649432965,-0.11430149482447143
2,-0.5,True,-1.5,False,14,9,3.7244777223852976,-0.08572611431024017
2,0.5,True,-0.5,True,15,14,0.00024887893586211796,-2.788957552578421e-05
2,0.5,True,-0.5,False,15,10,3.724991980559029,-0.08247860516889792
2,1.5,True,0.5,True,16,15,0.0002488434499292591,0.11426994136967623
2,1.5,True,0.5,False,16,11,3.725506167746195,-0.023325254107596217
2,2.5,True,1.5,True,17,16,0.0002488079786846509,0.1807140488754514
2,2.5,True,1.5,False,17,12,3.726020283976184,0.09032584939901371
3,-2.5,False,-3.5,False,19,18,-0.7439063654210689,0.07275466866387473
3,-1.5,False,-2.5,False,20,19,-0.00019190923560730155,-0.18069733752850195
3,-1.5,False,-2.5,True,20,25,-5.2142737320326145,0.01229691659081589
3,-0.5,False,-1.5,False,21,20,-0.00019189629663562968,-0.11427498082630451
3,-0.5,False,-1.5,True,21,26,-5.214641072763481,-0.03011905102545822
3,0.5,False,-0.5,False,22,21,-0.00019188336039865916,1.3280750567579261e-05
3,0.5,False,-0.5,True,22,27,-5.215008387619141,-0.05443310377504325
3,1.5,False,0.5,False,23,22,-0.00019187042689550182,0.1142964457608678
3,1.5,False,0.5,True,23,28,-5.21537567660506,-0.060480052129174726
3,2.5,False,1.5,False,24,23,-0.00019185749612304903,0.18070582228900525
3,2.5,False,1.5,True,24,29,-5.215742939726704,-0.04761233923681317
3,-2.5,True,-3.5,False,25,18,4.470175457375937,-0.17816788494183483
3,-1.5,True,-2.5,True,26,25,0.00017544443423167522,-0.15552589748828607
3,-1.5,True,-2.5,False,26,19,5.214257267231238,-0.04762575482017696
3,-0.5,True,-1.5,True,27,26,0.00017543149526089152,-0.08695049939274005
3,-0.5,True,-1.5,False,27,20,5.214624607962106,-0.06048857216873216
3,0.5,True,-0.5,True,28,27,0.000175418559023921,-1.3280750567770574e-05
3,0.5,True,-0.5,False,28,21,5.214991922817767,-0.054433103775043304
3,1.5,True,0.5,True,29,28,0.00017540562552076366,0.08692968000818668
3,1.5,True,0.5,False,29,22,5.215359211803685,-0.03011480864532765
3,2.5,True,1.5,True,30,29,0.00017539269474831087,0.15552042059859883
3,2.5,True,1.5,False,30,23,5.215726474925329,0.012293452702446656
3,3.5,True,2.5,True,31,30,0.0001753797667078949,0.17818043407263226
3,3.5,True,2.5,False,31,24,5.21609371218816,0.07272392969803959
4,-3.5,False,-4.5,False,33,32,-0.7438655396314751,0.06061639098246038
4,-2.5,False,-3.5,False,34,33,-0.00015109029904136762,-0.17817312595974522
4,-2.5,False,-3.5,True,34,41,-6.704151261516861,0.022909865624611375
4,-1.5,False,-2.5,False,35,34,-0.0001510842111414057,-0.15551879041067715
4,-1.5,False,-2.5,True,35,42,-6.704436971225668,-0.006613227040805961
4,-0.5,False,-1.5,False,36,35,-0.00015107812402037624,-0.08693318472025342
4,-0.5,False,-1.5,True,36,43,-6.704722668759455,-0.027944793100337165
4,0.5,False,-0.5,False,37,36,-0.000151072037676947,7.825358163069138e-06
4,0.5,False,-0.5,True,37,44,-6.705008354119777,-0.04106854029561084
4,1.5,False,0.5,False,38,37,-0.00015106595211156204,0.08694699146203323
4,1.5,False,0.5,True,38,45,-6.705294027308192,-0.04594806538219843
4,2.5,False,1.5,False,39,38,-0.00015105986732422139,0.15552752515790133
4,2.5,False,1.5,True,39,46,-6.705579688326252,-0.042485359632527746
4,3.5,False,2.5,False,40,39,-0.00015105378331359276,0.1781751963549191
4,3.5,False,2.5,True,40,47,-6.705865337175515,-0.030299156879672242
4,-3.5,True,-4.5,False,41,32,5.960134631586344,-0.17141617305240187
4,-2.5,True,-3.5,True,42,41,0.00013462549766662946,-0.17141982582002493
4,-2.5,True,-3.5,False,42,33,6.704134796715486,-0.030306903588861955
4,-1.5,True,-2.5,True,43,42,0.00013461940976577935,-0.13092803955944415
