j,m1,xi1,m2,xi2,index1,index2,energy_diff,coupling
0,0.5,True,-0.5,False,1,0,15.327892246036502,-0.0
1,-0.5,False,-1.5,False,3,2,-10.134316148166699,0.1884406437558083
1,0.5,False,-0.5,False,4,3,-7.314167162024162,0.16728115825882214
1,0.5,False,-0.5,True,4,5,-26.398670064446165,-0.10962214234171365
1,-0.5,True,-1.5,False,5,2,8.950186754255304,-0.0670083858997993
1,0.5,True,-0.5,True,6,5,-0.14987611787163146,-0.16728115825882167
1,0.5,True,-0.5,False,6,3,18.93462678455037,-0.10962214234171365
1,1.5,True,0.5,True,7,6,-0.9364616702429647,0.1943408598385302
1,1.5,True,0.5,False,7,4,25.312332276331567,0.0472401333319543
2,-1.5,False,-2.5,False,9,8,-13.932248043333946,0.1657268008474947
2,-0.5,False,-1.5,False,10,9,-7.444217382626477,-0.11315285096668708
2,-0.5,False,-1.5,True,10,13,-25.604584075382974,-0.03417745181478169
2,0.5,False,-0.5,False,11,10,-6.587012806382305,0.05492983263718614
2,0.5,False,-0.5,True,11,14,-32.171770984495964,-0.06152588540513759
2,1.5,False,0.5,False,12,11,-6.1411025603307685,0.1902146135259376
2,1.5,False,0.5,True,12,15,-37.43584307131324,-0.05120967386370757
2,-1.5,True,-2.5,False,13,8,4.22811864942255,-0.11554632842053873
2,-0.5,True,-1.5,True,14,13,-0.01982589726931394,-0.16888585881744106
2,-0.5,True,-1.5,False,14,9,18.140540795487183,-0.07158874503790305
2,0.5,True,-0.5,True,15,14,-0.8770304735134875,-0.054929832637185864
2,0.5,True,-0.5,False,15,10,24.707727704600174,-0.061525885405137586
2,1.5,True,0.5,True,16,15,-1.3229407195650271,0.09227202909506739
2,1.5,True,0.5,False,16,11,29.97179979141745,-0.017346191791792052
2,2.5,True,1.5,True,17,16,-1.6085158728298072,0.19596318677021066
2,2.5,True,1.5,False,17,12,34.50438647891841,0.04914016647790093
3,-2.5,False,-3.5,False,19,18,-19.606829889638732,0.1286162844003766
3,-1.5,False,-2.5,False,20,19,-7.069657887500932,-0.16703463937892465
3,-1.5,False,-2.5,True,20,25,-28.059188272867,0.006897566468025155
