j,m1,xi1,m2,xi2,index1,index2,energy_diff,coupling
0,0.5,True,-0.5,False,1,0,12.773243538363749,-0.0
1,-0.5,False,-1.5,False,3,2,-9.629291977555535,0.18485588269327
1,0.5,False,-0.5,False,4,3,-6.386415668997744,0.1584791986374431
1,0.5,False,-0.5,True,4,5,-22.941092908839195,-0.12200140818545448
1,-0.5,True,-1.5,False,5,2,6.925385262285914,-0.07634332081912495
1,0.5,True,-0.5,True,6,5,0.21211516173100442,-0.15847919863744267
1,0.5,True,-0.5,False,6,3,16.766792401572452,-0.12200140818545441
1,1.5,True,0.5,True,7,6,-0.538557392919909,0.1930490239906694
1,1.5,True,0.5,False,7,4,22.61465067765029,0.052269248476040094
2,-1.5,False,-2.5,False,9,8,-13.922244126789808,0.15685590466692598
2,-0.5,False,-1.5,False,10,9,-6.340530192550801,-0.11905017013232716
2,-0.5,False,-1.5,True,10,13,-23.221111730860795,-0.03326372130242809
2,0.5,False,-0.5,False,11,10,-5.614779099039842,0.05007187922027151
2,0.5,False,-0.5,True,11,14,-29.0021205151847,-0.0655402776907906
2,1.5,False,0.5,False,12,11,-5.228881817607228,0.18824518475194063
2,1.5,False,0.5,True,12,15,-33.67148092456503,-0.05526481245834812
2,-1.5,True,-2.5,False,13,8,2.9583374115201853,-0.12732851880758056
2,-0.5,True,-1.5,True,14,13,0.1662296852840619,-0.16186226127261072
2,-0.5,True,-1.5,False,14,9,17.046811223594055,-0.07835966967351886
2,0.5,True,-0.5,True,15,14,-0.559521408226896,-0.050071879220271225
2,0.5,True,-0.5,False,15,10,22.82782000791796,-0.06554027769079057
2,1.5,True,0.5,True,16,15,-0.9454186896595118,0.09382102221316056
2,1.5,True,0.5,False,16,11,27.49718041729829,-0.018061404474090947
2,2.5,True,1.5,True,17,16,-1.1949844750875709,0.19500070150616353
2,2.5,True,1.5,False,17,12,31.531077759817947,0.05283041683269595
3,-2.5,False,-3.5,False,19,18,-19.999143245522255,0.11930356840132651
3,-1.5,False,-2.5,False,20,19,-5.839130482447212,-0.16903761250408275
3,-1.5,False,-2.5,True,20,25,-26.636378037878643,0.009308487082497565
3,-0.5,False,-1.5,False,21,20,-5.348797016300912,-0.08875643492509581
3,-0.5,False,-1.5,True,21,26,-31.69574058867311,-0.03268420124062297
3,0.5,False,-0.5,False,22,21,-5.052164532089712,0.02604050517925693
3,0.5,False,-0.5,True,22,27,-35.96813718911008,-0.04780015745760736
3,1.5,False,0.5,False,23,22,-4.847748610273182,0.1322497302691832
3,1.5,False,0.5,True,23,28,-39.73948538351932,-0.046588248252816
3,2.5,False,1.5,False,24,23,-4.695827333895206,0.1870997224593941
3,2.5,False,1.5,True,24,29,-43.15449637973406,-0.03318778928352371
3,-2.5,True,-3.5,False,25,18,0.7981043099091742,-0.15100892557642756
3,-1.5,True,-2.5,True,26,25,-0.2894344655064405,-0.16681999539555573
3,-1.5,True,-2.5,False,26,19,20.507813089924987,-0.05263065668068974
3,-0.5,True,-1.5,True,27,26,-0.7797679316527404,-0.11306804595319818
3,-0.5,True,-1.5,False,27,20,25.567175640719462,-0.05877789055555157
3,0.5,True,-0.5,True,28,27,-1.0764004158639402,-0.026040505179257125
3,0.5,True,-0.5,False,28,21,29.839572241156432,-0.04780015745760738
3,1.5,True,0.5,True,29,28,-1.2808163376804682,0.07008117286624946
3,1.5,True,0.5,False,29,22,33.610920435565674,-0.024766072828333163
3,2.5,True,1.5,True,30,29,-1.432737614058448,0.15195848854915692
3,2.5,True,1.5,False,30,23,37.02593143178041,0.007755096079685273
3,3.5,True,2.5,True,31,30,-1.5513988506443468,0.18631635247400885
3,3.5,True,2.5,False,31,24,40.17035991503127,0.048200143545615776
4,-3.5,False,-4.5,False,33,32,-27.116242983534327,0.09196665596376669
4,-2.5,False,-3.5,False,34,33,-5.3178228945880655,-0.17565542699514314
4,-2.5,False,-3.5,True,34,41,-32.089269926043656,0.026543227891498714
4,-1.5,False,-2.5,False,35,34,-5.031709280120927,-0.14396786736800612
4,-1.5,False,-2.5,True,35,42,-36.31023715279899,-0.009271276971610672
4,-0.5,False,-1.5,False,36,35,-4.832950859324274,-0.0709220641335541
4,-0.5,False,-1.5,True,36,43,-40.04633234429053,-0.02890036426317883
4,0.5,False,-0.5,False,37,36,-4.684482966298656,0.01603959756195423
4,0.5,False,-0.5,True,37,44,-43.435201221959815,-0.037806829717644784
4,1.5,False,0.5,False,38,37,-4.568111872069796,0.0996368524938287
4,1.5,False,0.5,True,38,45,-46.55923111237462,-0.03876318759366843
4,2.5,False,1.5,False,39,38,-4.47370958337163,0.1628676113481728
4,2.5,False,1.5,True,39,46,-49.47248761986239,-0.03334353284597436
4,3.5,False,2.5,False,40,39,-4.39512702266655,0.17988186114361507
4,3.5,False,2.5,True,40,47,-52.212759277946915,-0.022344569772590576
4,-3.5,True,-4.5,False,41,32,-0.3447959520787407,-0.15684382496774193
4,-2.5,True,-3.5,True,42,41,-0.810742053365594,-0.1723879217580854
4,-2.5,True,-3.5,False,42,33,25.960704978089993,-0.03601141900424611
4,-1.5,True,-2.5,True,43,42,-1.096855667832724,-0.14241904727832633
4,-1.5,True,-2.5,False,43,34,30.181672204845334,-0.04562579511984288
4,-0.5,True,-1.5,True,44,43,-1.2956140886293745,-0.08616910240735974
4,-0.5,True,-1.5,False,44,35,33.917767396336885,-0.04536522490148599
4,0.5,True,-0.5,True,45,44,-1.4440819816549997,-0.016039597561954572
4,0.5,True,-0.5,False,45,36,37.306636274006166,-0.03780682971764479
4,1.5,True,0.5,True,46,45,-1.5604530758838546,0.05765749976843056
4,1.5,True,0.5,False,46,37,40.43066616442096,-0.024368293102211926
4,2.5,True,1.5,True,47,46,-1.654855364582021,0.12451647534279253
4,2.5,True,1.5,False,47,38,43.34392267190874,-0.005966487950016681
4,3.5,True,2.5,True,48,47,-1.7334379252871077,0.17157003372973434
4,3.5,True,2.5,False,48,39,46.08419432999326,0.01675558431335276
4,4.5,True,3.5,True,49,48,-1.8001801441364425,0.17658152458947385
4,4.5,True,3.5,False,49,40,48.67914120852337,0.043322239246447555
5,-4.5,False,-5.5,False,51,50,-34.66885586502242,0.07376124923473888
5,-3.5,False,-4.5,False,52,51,-4.903969683737106,-0.17153000069233063
5,-3.5,False,-4.5,True,52,61,-38.575642478168874,0.03192498253427409
5,-2.5,False,-3.5,False,53,52,-4.738328316884086,-0.1662937331293496
5,-2.5,False,-3.5,True,53,62,-42.08937553083642,0.00421122353070009
5,-1.5,False,-2.5,False,54,53,-4.61071201013041,-0.12190232237587308
5,-1.5,False,-2.5,True,54,63,-45.309850909897264,-0.01404461310978986
5,-0.5,False,-1.5,False,55,54,-4.508475569356772,-0.05907232275251889
5,-0.5,False,-1.5,True,55,64,-48.30047354143079,-0.025363526566557108
5,0.5,False,-0.5,False,56,55,-4.424178675769376,0.010876989696799006
5,0.5,False,-0.5,True,56,65,-51.104562838603286,-0.031264379438512534
5,1.5,False,0.5,False,57,56,-4.353117908367636,0.07924183461655886
5,1.5,False,0.5,True,57,66,-53.75329447478665,-0.03273334089092764
5,2.5,False,1.5,False,58,57,-4.292154137173149,0.1374427362180663
5,2.5,False,1.5,True,58,67,-56.270001572373786,-0.030441167758968907
5,3.5,False,2.5,False,59,58,-4.239101094519704,0.17465350444776445
5,3.5,False,2.5,True,59,68,-58.67269185611298,-0.02483975543001217
5,4.5,False,3.5,False,60,59,-4.19238290895872,0.17164279806441177
5,4.5,False,3.5,True,60,69,-60.97561091163775,-0.016121206149428337
5,-4.5,True,-5.5,False,61,50,-0.9971830705906548,-0.15538686214702574
5,-3.5,True,-4.5,True,62,61,-1.2245952642165427,-0.17525074426949522
5,-3.5,True,-4.5,False,62,51,32.447077530215225,-0.025433784667138883
5,-2.5,True,-3.5,True,63,62,-1.3902366310695697,-0.15890289659924048
5,-2.5,True,-3.5,False,63,52,35.960810582882765,-0.034779067004511874
5,-1.5,True,-2.5,True,64,63,-1.517852937823239,-0.12089288001448886
5,-1.5,True,-2.5,False,64,53,39.181285961943615,-0.038044204256245155
5,-0.5,True,-1.5,True,65,64,-1.6200893785968837,-0.06947934653394995
5,-0.5,True,-1.5,False,65,54,42.17190859347714,-0.03660619728156635
5,0.5,True,-0.5,True,66,65,-1.7043862721842729,-0.010876989696799023
5,0.5,True,-0.5,False,66,55,44.97599789064964,-0.03126437943851251
5,1.5,True,0.5,True,67,66,-1.775447039586016,0.049399321994924736
5,1.5,True,0.5,False,67,56,47.62472952683299,-0.022565639734645763
5,2.5,True,1.5,True,68,67,-1.836410810780503,0.10575279808996967
5,2.5,True,1.5,False,68,57,50.14143662442013,-0.010911119842934495
5,3.5,True,2.5,True,69,68,-1.889463853433952,0.15165318278674708
5,3.5,True,2.5,False,69,58,52.54412690815933,0.0033920813662823477
