j,m,xi,spin_up,spin_down,zeeman_energy_khz,rotation_energy_ghz
0,-0.5,False,0.0,1.0,7.663946123018251,0.0
0,0.5,True,1.0,0.0,-7.663946123018251,0.0
1,-1.5,False,0.0,1.0,-0.3280755169296454,285.0035558
1,-0.5,False,0.3350419294989971,-0.9422032187790429,9.806240631237053,285.0035558
1,0.5,False,0.23620066665977135,-0.9717042991926502,17.120407793261215,285.0035558
1,-0.5,True,0.9422032187790429,0.3350419294989971,-9.27826227118495,285.0035558
1,0.5,True,0.9717042991926502,0.23620066665977135,-9.128386153313318,285.0035558
1,1.5,True,1.0,0.0,-8.191924483070354,285.0035558
2,-2.5,False,0.0,1.0,-8.320097156877543,855.0106674000001
2,-1.5,False,0.5719251465715963,-0.8203058129253127,5.612150886456404,855.0106674000001
2,-0.5,False,0.45909364763255733,-0.8883878785212196,13.056368269082881,855.0106674000001
2,0.5,False,0.356952106992125,-0.9341226864357179,19.643381075465186,855.0106674000001
2,1.5,False,0.24323141461611716,-0.9699682875969927,25.784483635795954,855.0106674000001
2,-1.5,True,0.8203058129253127,0.5719251465715963,-12.548215806300092,855.0106674000001
2,-0.5,True,0.8883878785212196,0.45909364763255733,-12.528389909030778,855.0106674000001
2,0.5,True,0.9341226864357179,0.356952106992125,-11.651359435517291,855.0106674000001
2,1.5,True,0.9699682875969927,0.24323141461611716,-10.328418715952264,855.0106674000001
2,2.5,True,1.0,0.0,-8.719902843122457,855.0106674000001
3,-3.5,False,0.0,1.0,-16.312118796825438,1710.0213348000002
3,-2.5,False,0.743883046889845,-0.6683098177865419,3.2947110928132934,1710.0213348000002
3,-1.5,False,0.6216911888992034,-0.7832624500415521,10.364368980314225,1710.0213348000002
3,-0.5,False,0.5252374084984294,-0.8509557360485056,16.772488892541976,1710.0213348000002
3,0.5,False,0.4359129082923385,-0.8999888534777057,22.8036102391564,1710.0213348000002
3,1.5,False,0.34396743527498463,-0.9389815778120193,28.582792805385548,1710.0213348000002
3,2.5,False,0.2363546019244825,-0.9716668678868903,34.17824641838441,1710.0213348000002
3,-2.5,True,0.6683098177865419,0.743883046889845,-17.694819292552776,1710.0213348000002
3,-1.5,True,0.7832624500415521,0.6216911888992034,-17.300433900157913,1710.0213348000002
3,-0.5,True,0.8509557360485056,0.5252374084984294,-16.244510532489873,1710.0213348000002
3,0.5,True,0.8999888534777057,0.4359129082923385,-14.8115885992085,1710.0213348000002
3,1.5,True,0.9389815778120193,0.34396743527498463,-13.126727885541857,1710.0213348000002
3,2.5,True,0.9716668678868903,0.2363546019244825,-11.25813821864493,1710.0213348000002
3,3.5,True,1.0,0.0,-9.247881203174561,1710.0213348000002
4,-4.5,False,0.0,1.0,-24.304140436773334,2850.035558
4,-3.5,False,0.8389615046246364,-0.5441907696368675,2.263592613670859,2850.035558
4,-2.5,False,0.7314696596443612,-0.6818739891063176,8.778709821333653,2850.035558
4,-1.5,False,0.6437517843472707,-0.7652343694252796,14.8763435066747,2850.035558
4,-0.5,False,0.5647704159388887,-0.8252480701463134,20.701977406809487,2850.035558
4,0.5,False,0.48886592322786276,-0.8723589336428953,26.332227955210435,2850.035558
4,1.5,False,0.41171457899395464,-0.9113128471846705,31.813335635649683,2850.035558
4,2.5,False,0.3280754177836246,-0.9446515337658116,37.17575090592614,2850.035558
4,3.5,False,0.22702251647603783,-0.973889509653373,42.440787551118234,2850.035558
4,-3.5,True,0.5441907696368675,0.8389615046246364,-24.127744093306134,2850.035558
4,-2.5,True,0.6818739891063176,0.7314696596443612,-23.178818021073138,2850.035558
4,-1.5,True,0.7652343694252796,0.6437517843472707,-21.812408426518388,2850.035558
4,-0.5,True,0.8252480701463134,0.5647704159388887,-20.173999046757384,2850.035558
4,0.5,True,0.8723589336428953,0.48886592322786276,-18.340206315262535,2850.035558
4,1.5,True,0.9113128471846705,0.41171457899395464,-16.357270715805992,2850.035558
4,2.5,True,0.9446515337658116,0.3280754177836246,-14.255642706186652,2850.035558
4,3.5,True,0.973889509653373,0.22702251647603783,-12.056636071482952,2850.035558
4,4.5,True,1.0,0.0,-9.775859563226664,2850.035558
5,-5.5,False,0.0,1.0,-32.29616207672123,4275.053337
5,-4.5,False,0.8893663062438691,-0.4571953338761632,1.9011200996690256,4275.053337
5,-3.5,False,0.8016549668008448,-0.5977870140807147,7.925327668267418,4275.053337
5,-2.5,False,0.725806923610227,-0.6878984733515972,13.69963241571109,4275.053337
5,-1.5,False,0.656520054651804,-0.7543085693799272,19.291407990226418,4275.053337
5,-0.5,False,0.5906323865306861,-0.8069407561779652,24.742293099173274,4275.053337
5,0.5,False,0.525826396716219,-0.850591911856936,30.08015535094203,4275.053337
5,1.5,False,0.45995705392144143,-0.8879411627736988,35.324732064525385,4275.053337
5,2.5,False,0.3904303983285171,-0.9206324478645294,40.49060804258704,4275.053337
5,3.5,False,0.31302607801779037,-0.949744531166566,45.58892253969661,4275.053337
5,4.5,False,0.21767151357129336,-0.9760220859076818,50.628411416338,4275.053337
5,-4.5,True,0.4571953338761632,0.8893663062438691,-31.229314859200098,4275.053337
5,-3.5,True,0.5977870140807147,0.8016549668008448,-29.789479147902693,4275.053337
5,-2.5,True,0.6878984733515972,0.725806923610227,-28.099740615450575,4275.053337
5,-1.5,True,0.7543085693799272,0.656520054651804,-26.227472910070105,4275.053337
5,-0.5,True,0.8069407561779652,0.5906323865306861,-24.21431473912117,4275.053337
5,0.5,True,0.850591911856936,0.525826396716219,-22.08813371099413,4275.053337
5,1.5,True,0.8879411627736988,0.45995705392144143,-19.868667144681698,4275.053337
5,2.5,True,0.9206324478645294,0.3904303983285171,-17.57049984284756,4275.053337
5,3.5,True,0.949744531166566,0.31302607801779037,-15.204771060061333,4275.053337
5,4.5,True,0.9760220859076818,0.21767151357129336,-12.780216656806932,4275.053337
5,5.5,True,1.0,0.0,-10.303837923278765,4275.053337
6,-6.5,False,0.0,1.0,-40.288183716669124,5985.074671800001
6,-5.5,False,0.9180558926521879,-0.39645097801190304,1.876581762044058,5985.074671800001
6,-4.5,False,0.8469144796802749,-0.5317291266311159,7.5209793643199845,5985.074671800001
6,-3.5,False,0.7825220228330411,-0.622622906566475,13.013129694574811,5985.074671800001
6,-2.5,False,0.7224189018648349,-0.6914556603488079,18.38447435874273,5985.074671800001
6,-1.5,False,0.6649214382626571,-0.7469133021567628,23.65692522859529,5985.074671800001
6,-0.5,False,0.6087288855591028,-0.7933783106979752,28.846476173955363,5985.074671800001
