j,m1,xi1,m2,xi2,index1,index2,energy_diff,coupling
0,0.5,True,-0.5,False,1,0,127.7324353836375,-0.0
1,-0.5,False,-1.5,False,3,2,-1.5769245892935828,0.19999320597510298
1,0.5,False,-0.5,False,4,3,-1.5681400046680807,0.19997313655663743
1,0.5,False,-0.5,True,4,5,-129.39618449925717,-0.003277904162808931
1,-0.5,True,-1.5,False,5,2,126.25111990529552,-0.0016485035031281866
1,0.5,True,-0.5,True,6,5,-0.07834013060305267,-0.19997313655663657
1,0.5,True,-0.5,False,6,3,127.74970436398606,-0.003277904162808931
1,1.5,True,0.5,True,7,6,-0.08682452632609738,0.19999336162677192
1,1.5,True,0.5,False,7,4,129.23101984232804,0.0016295107312707402
2,-1.5,False,-2.5,False,9,8,-1.585812734924069,0.20201645994009626
2,-0.5,False,-1.5,False,10,9,-1.5767174261715695,-0.08249847986012507
2,-0.5,False,-1.5,True,10,13,-127.93253821202163,-0.001910927882871051
2,0.5,False,-0.5,False,11,10,-1.5679399996365007,0.08244538837891312
2,0.5,False,-0.5,True,11,14,-129.43071550255857,-0.0023407313997162384
2,1.5,False,0.5,False,12,11,-1.5594623590557006,0.20201054945932248
2,1.5,False,0.5,True,12,15,-130.91163772597963,-0.0019109568768864546
2,-1.5,True,-2.5,False,13,8,124.770008050926,-0.002382528884113309
2,-0.5,True,-1.5,True,14,13,-0.06976270909955673,-0.20200976341586946
2,-0.5,True,-1.5,False,14,9,126.2860580767505,-0.0012051054339436897
2,0.5,True,-0.5,True,15,14,-0.07854013563463269,-0.08244538837891255
2,0.5,True,-0.5,False,15,10,127.78423536728744,-0.0023407313997162397
2,1.5,True,0.5,True,16,15,-0.08701777621542561,0.08249751737735024
2,1.5,True,0.5,False,16,11,129.26515759070853,-0.0011372759466567075
2,2.5,True,1.5,True,17,16,-0.09521231688113829,0.2020174034897211
2,2.5,True,1.5,False,17,12,130.72940763288307,0.002301134042933156
3,-2.5,False,-3.5,False,19,18,-1.594911705930194,0.19242953772759447
3,-1.5,False,-2.5,False,20,19,-1.5854909368284424,-0.1490818067908541
3,-1.5,False,-2.5,True,20,25,-126.46950966469078,-0.0014088053161034901
3,-0.5,False,-1.5,False,21,20,-1.5764070015549407,-0.05446863971508963
3,-0.5,False,-1.5,True,21,26,-127.984927467803,-0.0019932383812219174
3,0.5,False,-0.5,False,22,21,-1.5676402939421976,0.054389281719954406
3,0.5,False,-0.5,True,22,27,-129.48249462802903,-0.0021838033222764852
3,1.5,False,0.5,False,23,22,-1.5591727692800816,0.14903692923726575
3,1.5,False,0.5,True,23,28,-130.96282755598017,-0.001993287182242395
3,2.5,False,1.5,False,24,23,-1.5509877879767657,0.19243761074121357
3,2.5,False,1.5,True,24,29,-132.42650797796588,-0.0014089534016760961
3,-2.5,True,-3.5,False,25,18,123.28910702193213,-0.002812480574394397
3,-1.5,True,-2.5,True,26,25,-0.06098919844269801,-0.19243671241690302
3,-1.5,True,-2.5,False,26,19,124.82302952941963,-3.354085973038554e-05
3,-0.5,True,-1.5,True,27,26,-0.07007313371618551,-0.1490354230003369
3,-0.5,True,-1.5,False,27,20,126.33844733253189,-0.0016799299507044524
3,0.5,True,-0.5,True,28,27,-0.07883984132893573,-0.05438928171995469
3,0.5,True,-0.5,False,28,21,127.8360144927579,-0.0021838033222764844
3,1.5,True,0.5,True,29,28,-0.0873073659910446,0.05446699020054984
3,1.5,True,0.5,False,29,22,129.31634742070904,-0.0015977150602283744
3,2.5,True,1.5,True,30,29,-0.09549234729436762,0.1490806465958091
3,2.5,True,1.5,False,30,23,130.78002784269475,2.9872392927421463e-05
3,3.5,True,2.5,True,31,30,-0.10341015733479253,0.19243178632474328
3,3.5,True,2.5,False,31,24,132.22760547333672,0.0026541757487818377
4,-3.5,False,-4.5,False,33,32,-1.6042290451343248,0.181791669433166
4,-2.5,False,-3.5,False,34,33,-1.594467201100393,-0.17180349286919513
4,-2.5,False,-3.5,True,34,41,-125.00712060737098,-0.0011233834539420258
4,-1.5,False,-2.5,False,35,34,-1.5850625057621315,-0.11691332973377835
4,-1.5,False,-2.5,True,35,42,-126.54017017896237,-0.0016863948127230361
4,-0.5,False,-1.5,False,36,35,-1.5759936982938285,-0.04111787303867988
4,-0.5,False,-1.5,True,36,43,-128.0547462477472,-0.002016536543348844
4,0.5,False,-0.5,False,37,36,-1.5672412486760905,0.041013478747681346
4,0.5,False,-0.5,True,37,44,-129.551501059446,-0.002125940794545589
4,1.5,False,0.5,False,38,37,-1.5587871806427245,0.11683584552805021
4,1.5,False,0.5,True,38,45,-131.03104935349367,-0.0020166108897197435
4,2.5,False,1.5,False,39,38,-1.5506149162734744,0.17177328941814557
4,2.5,False,1.5,True,39,46,-132.49397131513874,-0.0016866137040361562
4,3.5,False,2.5,False,40,39,-1.5427091391729704,0.18181229385687173
4,3.5,False,2.5,True,40,47,-133.94081523531406,-0.001123760738396674
4,-3.5,True,-4.5,False,41,32,121.80842436113626,-0.003104861409468678
4,-2.5,True,-3.5,True,42,41,-0.05201293417073316,-0.18181187082952185
4,-2.5,True,-3.5,False,42,33,123.36064047209985,0.0007289166936750151
4,-1.5,True,-2.5,True,43,42,-0.061417629508994764,-0.17177077956799958
4,-1.5,True,-2.5,False,43,34,124.89369004369125,-0.0009112128501755122
4,-0.5,True,-1.5,True,44,43,-0.07048643697730483,-0.11683369892424157
4,-0.5,True,-1.5,False,44,35,126.40826611247607,-0.0018517473868936156
4,0.5,True,-0.5,True,45,44,-0.07923888659504996,-0.041013478747681804
4,0.5,True,-0.5,False,45,36,127.90502092417486,-0.002125940794545593
4,1.5,True,0.5,True,46,45,-0.08769295462840176,0.04111561102618559
4,1.5,True,0.5,False,46,37,129.38456921822254,-0.0017643938815440142
4,2.5,True,1.5,True,47,46,-0.09586521899765899,0.1169104847709334
4,2.5,True,1.5,False,47,38,130.8474911798676,-0.00079532790008109
4,3.5,True,2.5,True,48,47,-0.10377099609816298,0.17180292931230937
4,3.5,True,2.5,False,48,39,132.29433510004293,0.0007551758285462062
4,4.5,True,3.5,True,49,48,-0.11142446160697972,0.18179563985211078
4,4.5,True,3.5,False,49,40,133.72561977760893,0.0028629653213083106
5,-4.5,False,-5.5,False,51,50,-1.6137726571164848,0.17197311298583837
